Item,Quantity needed per sensor,Cost of each unit,Cost per sensor,Link
Heltec AB02,1,$14.40,$14.40,https://heltec.org/project/htcc-ab02/
0.6W solar panel,1,$9.00,$9.00,https://voltaicsystems.com/0-6-watt-6-volt-solar-panel-etfe/
0.6W panel gasket,1,$1.50,$1.50,https://voltaicsystems.com/gasket-0-6w/
3D printer filament,1,$2.75,$2.75,https://www.amazon.com/Polymaker-Filament-1-75mm-Resistant-Cardboard/dp/B09DKP1TYK/ref=sr_1_5?crid=YBLDV47T9C7C&keywords=1.75mm%2Bfilament%2Babs&qid=1649515247&sprefix=1.75mm%2Bfilament%2Babs%2Caps%2C62&sr=8-5&th=1
Cable glands - PG7,1,$0.45,$0.45,https://www.amazon.com/mxuteuk-Connectors-Protectors-Waterproof-Adjustable/dp/B083K5PKYB/ref=sr_1_12?dchild=1&keywords=gland+pg7&qid=1628868408&sr=8-12
uFl to SMA female ,1,$6.28,$6.28,https://www.amazon.com/onelinkmore-Connector-Pigtail-Bulkhead-Extension/dp/B01AJQ33Y4/ref=sr_1_3?dchild=1&keywords=ufl+to+sma&qid=1628868497&sr=8-3
Sign,1,$4.79,$4.79,https://www.bradyid.com/label-printers/laminators/rigid-sign-blanks-cps-2855744?part-number=13629&Ntt=y48605&el=products&el_text=y48605
JST 1.25mm cables,1,$0.95,$0.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/3922/9685337?utm_adgroup=Rectangular%20Cable%20Assemblies&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Cable%20Assemblies_NEW&utm_term=&utm_content=Rectangular%20Cable%20Assemblies&gclid=EAIaIQobChMIqL_16fmW9gIVximzAB3Tig5pEAQYBSABEgJrVfD_BwE
Switch,1,$0.51,$0.51,https://www.digikey.com/en/products/detail/c-k/OS102011MS2QN1/411602?s=N4IgTCBcDaIMIGkByBOArANjQWiQERAF0BfIA
Antenna,1,$12.85,$12.85,https://www.digikey.com/en/products/detail/linx-technologies-inc/ANT-916-CW-HWR-SMA/1139580
Maxbotix US range sensor,1,$99.95,$99.95,https://www.digikey.com/en/products/detail/maxbotix-inc/MB7389-100/7896781
US locknut with washers,1,$3.00,$3.00,https://www.digikey.com/en/products/detail/maxbotix-inc/MB7950-000/10279125
Screw terminals,4,$0.55,$2.20,https://www.digikey.com/en/products/detail/phoenix-contact/1984617/950849
MCU header,2,$0.65,$1.30,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC081LFBN-RC/810147?s=N4IgTCBcDaIMoHYAMSBsBaAcgERAXQF8g
JST socket for battery,1,$0.20,$0.20,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/440055-2/2077946
Struct Channel - 1ft,1,$9.57,$9.57,https://www.mcmaster.com/3230T26/
Struct Channel nuts,3,$1.61,$4.82,https://www.mcmaster.com/3259T33/
Right angled mounting bracket,1,$6.73,$6.73,https://www.mcmaster.com/33125T33/
M6 - Socket Hex cap screws,2,$0.19,$0.37,https://www.mcmaster.com/91274A143/
"Oversized washers - 1/4"" ",2,$0.32,$0.64,https://www.mcmaster.com/91525A120/
"Hex screw nuts 1/4""-20 ",2,$0.06,$0.13,https://www.mcmaster.com/91819A110/
"Hex Head Screw 1/4""-20 ",2,$0.35,$0.70,https://www.mcmaster.com/92620A546/
Oversized Clipped Washers,2,$1.59,$3.19,https://www.mcmaster.com/93409A136/
Battery (400mAh),1,$6.95,$6.95,https://www.mouser.com/ProductDetail/Adafruit/3898?qs=sGAEpiMZZMv0NwlthflBi8ehYjReR1e7y2ylveBbZtY%3D
Housing 2.63 x 2.63 x 1.63 in,1,$10.64,$10.64,https://www.polycase.com/ml-22f
PCB fabricated,1,$0.50,$0.50,*custom printed PCB